Logstic Regression/Lasso Regression,Base,NFS,Improvement
AP-omen-lung,0.826,0.9575,15.92009685
credit-a,0.8055,0.8319,3.277467412
diabetes,0.6228,0.6704,7.642903019
fertility,0.8808,0.9103,3.349227975
gisette,0.9301,0.9451,1.612729814
hepatitis,0.8749,0.9263,5.874957138
labor,0.9309,0.9713,4.339886132
lymph,0.9244,0.9757,5.549545651
madelon,0.5791,0.6556,13.21015369
megawatt1,0.336,0.581,72.91666667
secom,0.9324,0.9355,0.332475332
sonar,0.6706,0.8036,19.83298539
Higgs boson,0.5611,0.5611,0
Amazon Employee,0.9702,0.9703,0.010307153
spectf,0.8365,0.891,6.51524208
SVMguide3,0.3042,0.4868,60.02629849
German Credit,0.8393,0.8442,0.58381985
Bikeshare DC,0,0,0
Housing Boston,-35.5316,-26.6484,33.33483436
Airfoil,-44.7368,-16.0138,179.3640485
AP-omen-ovary,0.8399,0.9048,0.077271104
Lymphography,0.8179,0.9313,0.138647756
Ionoshpere,0.8976,0.9559,0.06495098
openml_618,-1.0017,-0.9048,10.70954907
openml_589,-1.0016,-0.7844,27.68995411
openml_616,-0.9991,-0.8846,12.94370337
openml_607,-1.0034,-0.9812,2.262535671
openml_620,-1.0005,-0.9423,6.17637695
openml_637,-1.0017,-0.9661,3.684918745
openml_586,-1.0003,-0.7477,33.78360305
credit default,0.7787,0.7891,1.335559265
messidor_features,0.7429,0.7795,4.926638848
Wine Quality Red,0.5844,0.6238,6.741957563
Wine Quality White,0.5192,0.5317,2.407550077
Spambase,0.8897,0.8897,0
